year,areakm,municipality,geocode_ibge,state
2007,1005.7092256458739,Acrelândia,1200013,Acre
2008,1029.376312152204,Acrelândia,1200013,Acre
2009,1042.314545623046,Acrelândia,1200013,Acre
2010,1053.6466235339763,Acrelândia,1200013,Acre
2011,1069.5852610999054,Acrelândia,1200013,Acre
2012,1073.7499786051776,Acrelândia,1200013,Acre
2013,1083.2255348562608,Acrelândia,1200013,Acre
2014,1102.1223075394882,Acrelândia,1200013,Acre
2015,1116.8841098226894,Acrelândia,1200013,Acre
2016,1140.689800397697,Acrelândia,1200013,Acre
2017,1146.4007053489913,Acrelândia,1200013,Acre
2018,1168.1851273496466,Acrelândia,1200013,Acre
2019,1188.0730744944804,Acrelândia,1200013,Acre
2020,1201.010630254953,Acrelândia,1200013,Acre
2021,1239.2759425539016,Acrelândia,1200013,Acre
2022,1257.7785676541498,Acrelândia,1200013,Acre
2007,234.39802495085524,Assis Brasil,1200054,Acre
2008,237.81755138550625,Assis Brasil,1200054,Acre
2009,239.4182503824041,Assis Brasil,1200054,Acre
2010,243.1920249002986,Assis Brasil,1200054,Acre
2011,246.01140869709826,Assis Brasil,1200054,Acre
2012,248.41015826538444,Assis Brasil,1200054,Acre
2013,253.21393623162635,Assis Brasil,1200054,Acre
2014,260.8894044530843,Assis Brasil,1200054,Acre
2015,266.8286830264569,Assis Brasil,1200054,Acre
2016,269.72263277571653,Assis Brasil,1200054,Acre
2017,276.11389025762816,Assis Brasil,1200054,Acre
2018,284.0397556058524,Assis Brasil,1200054,Acre
2019,305.1836444337257,Assis Brasil,1200054,Acre
2020,323.35845408504633,Assis Brasil,1200054,Acre
2021,341.00831785829234,Assis Brasil,1200054,Acre
2022,349.3751888321186,Assis Brasil,1200054,Acre
2007,1201.1294319303322,Brasiléia,1200104,Acre
2008,1213.7892164300379,Brasiléia,1200104,Acre
2009,1222.0067814445715,Brasiléia,1200104,Acre
2010,1233.961791973417,Brasiléia,1200104,Acre
2011,1248.4808169982834,Brasiléia,1200104,Acre
2012,1261.368883059273,Brasiléia,1200104,Acre
2013,1278.5631418017558,Brasiléia,1200104,Acre
2014,1311.9871209142661,Brasiléia,1200104,Acre
2015,1334.0474851055183,Brasiléia,1200104,Acre
2016,1351.7619301071593,Brasiléia,1200104,Acre
2017,1374.866923229725,Brasiléia,1200104,Acre
2018,1395.9540596551874,Brasiléia,1200104,Acre
2019,1454.564717008343,Brasiléia,1200104,Acre
2020,1494.685784961733,Brasiléia,1200104,Acre
